,sentiment,preprocess
15757,fun,omg wow old
15758,relief,vp gone get headach time coffe fight migrain ohnoyoudidnt
15759,fun,want dress
15760,worry,go sleep sleepi
15761,sadness,car broken
15762,enthusiasm,realli want go surfer today
15763,relief,oh take sign error page
15764,sadness,get write halloween interview w daniel harri darn late contest
15765,hate,realli bad sorehead
15766,empty,cheek bakeri close crazi williamsburg support infinit boutiqu w bad cloth decent place scone
15767,surprise,even rememb
15768,sadness,crisi forgot fring comb help
15769,worry,night damn give ff sorri late tomorrow alway forget someon night xxx
15770,worry,ok post rni girl learn rich sugari food bad idea golden graham bar vend machin bleck
15771,worry,isnt everyon
15772,worry,dentist hope first check let handl dentist
15773,worry,super bum whitecap game plan friend fell need home let sitter go
15774,neutral,eom still work
15775,happiness,send get first check make enough lol work like hour far
15776,worry,dedic next hour clean hous
15777,worry,went doctor physic includ blood work eye doctor new glass
15778,sadness,got sing fall love chang week day saturday quit fit
15779,love,that dream that realiti cs wishlist
15780,love,day hug finger still cross
15781,love,pot geranium talk grandkid well maddi jack outsid play sure miss
15782,worry,frustrat life whole new level tri trust god
15783,empty,hot sleep window open mean nois make earli
15784,worry,iphon poor credit can not live without cell phone mass transit everi day
15785,sadness,fuck concentr damn heat cooler job
15786,sadness,depress think
15787,empty,got ta get use pocketwit damn twikini
15788,sadness,lot bad thing r gon na final next week
15789,neutral,well around twit
15790,worry,super bore friday night
15791,sadness,almost made read comedi outlet headlin weekend took extra hour traffic basic doubl time
15792,sadness,get dizzi go lower origin rais pleas think less
15793,sadness,bad day
15794,neutral,ive finish
15795,love,bill likewis pleasur next time spend time talk im
15796,worry,problem get done weekend way anoth
15797,fun,tri say cold steal heart lol
15798,worry,sooo stress everyth
15799,worry,thought next week think anoth week ohmygod pleas tell anoth week
15800,worry,tri find foreign place foreign town lost
15801,relief,ye nice oh kevin shirtless see well
15802,hate,gloomi fuck outsid
15803,love,knoww best
15804,neutral,unlucki day without hope see wednesday though right x
15805,worry,sorri
15806,worry,sad today last day san diego
15807,neutral,baaad linz rather sheesh text finger broke
15808,love,priest realli good guess welcom late late moment
15809,sadness,head hurt
15810,sadness,yesterday miss live chat internet problem
15811,worry,wait around boyfriend queen look like go dt bklyn umbrellaless
15812,neutral,still work music grade outsid deck sun behind big gray cloud
15813,worry,nooo roo cri omg want slap sing fine nowher boohooooooooooo
15814,sadness,wish go tonight wait tomorrow
15815,love,got new ducati puma high top yea sweet ye dont ducati
15816,worry,fyi canada can not see vh preview video
15817,sadness,alway feel sickli wake well got busi day ahead yippee
15818,sadness,look forward next week math geographi english french exam total hour
15819,fun,like babi better although like show book crime
15820,hate,aw suck
15821,empty,thought licens store bc take away experi provid
15822,neutral,r p gb playstat miss novemb may
15823,neutral,iphon fell
15824,neutral,weird see myspac page without delet page though
15825,hate,appl rotten center luck
15826,neutral,soooooooo happen power forreal
15827,worry,back pain hm walmart could get cupcak
15828,worry,hope doesnt rain tonight tomorrow fam come visit swim pool carn asada rain pool go dirti
15829,neutral,watch southpark anoth minut
15830,worry,balmain knockoff bebe make sad real deal shoe look cheapi cheapi
15831,worry,think cold get wors better cant stop cough realli suck
15832,neutral,anybodi throw basebal around
15833,sadness,damn rain
15834,sadness,hate paint nail cant suck thumb tast bad
15835,neutral,twitter sooo quiet today
15836,love,yea old look lot differ turn beauti women miss lot
15837,neutral,screenshot give kind preview need vpn access wan na
15838,enthusiasm,nhl fan either team head say detroit feet say pen heart go king
15839,sadness,lucki bed ice cream sore couch cardboard
15840,fun,fun amorsot even tho forgot bday
15841,hate,revers overdraft fee
15842,sadness,karma bitch got hung lol still big dawg though
15843,love,boy leav summer go stay grandpar gon na miss
15844,worry,know use twitter
15845,hate,much run outsid like thought go look like treadmil today thank lot rain
15846,neutral,mayb pair shoe mani super huge feet
15847,hate,nope think crime
15848,hate,bu stop alway big pile loogi gross
15849,worry,mayday
15850,neutral,work lammmeee
15851,worry,work
15852,worry,sittin hospit isaac caus hit head
15853,worry,feel lone need good friend
15854,neutral,
15855,sadness,allerg hot wax
15856,sadness,awak wish feel like head may explod go tri go back sleep
15857,worry,need car back
15858,sadness,awe go meijer walmart walmart better
15859,neutral,oh
15860,neutral,omg learn littl girl play ducki first land time movi murder age wtf
15861,sadness,tire
15862,worry,leg kill know good pain
15863,love,sit babi libbi fever she fussi
15864,worry,back town mac crash better
15865,worry,figur empir puzzl stuck
15866,sadness,get either pretti sure bunni surviv struggl tom
15867,worry,dear co worker great smell deordant bath cologn
15868,sadness,wan na watch quot quot badli
15869,neutral,hate sat around alon friday night big sad old loser
15870,sadness,final got money bad goe bill
15871,neutral,head home sacramento continu write window server r unleash book weekend sigh window
15872,sadness,well tell marri like mayb stuck situat like
15873,sadness,never ban court order
15874,happiness,two hilaaaaari love verna
15875,worry,geez cool like villain bad
15876,worry,took kind nap tummi hurt
15877,worry,know ef embarrass eff live
15878,sadness,car happi big big dent boot hope theyr go write cross finger wait
15879,neutral,look vibrat phone like tri find quot feel quot
15880,neutral,aww love gone play shuffl
15881,worry,ugh bore day
15882,worry,wan na b mari antoinett co perfect hairdo fab cloth ton macaron crappi day
15883,worry,inconclus still chanc need surgeri see doctor week x ray
15884,empty,sinc hour tomorrow
15885,sadness,ju chillin doin hr friday afternoon tend quot busi quot
15886,worry,cant find
15887,neutral,aw babe dont aim get dm addi
15888,surprise,omg almost comment bday joe turn omg lol
15889,happiness,know believ say bleedin song donni rap tut
15890,love,could send california sunshin way
15891,worry,found tink cover wii remot peopl know dont wii fail
15892,sadness,fun amorsot even tho forgot bday today
15893,worry,worri read nasti stori murder paedophilia disfigur get upset anim cruelti
15894,surprise,back mo cover girl hubbi fb chat seen month
15895,boredom,brother left day
15896,surprise,nooo way dude w mean net countri
15897,sadness,well work leah might someth embri
15898,empty,dang plant thorni bush ouch kitti hug today
15899,worry,lectur book worm beast nobl caus normal
15900,worry,abl see clip episod websit america languish read news stori
15901,empty,yeah bore xd photo still guitar today mum steam miss nameless
15902,worry,get along
15903,relief,rain lightli mist though
15904,worry,headach
15905,neutral,work hop citi got ta miss basebal
15906,sadness,food hous sugar ant
15907,relief,found morn
15908,worry,tri dm follow
15909,neutral,planet fit wyck keep hear homi tell bout plu close hood know lazzzi ass
15910,worry,oh poor thing keep us post
15911,enthusiasm,yeah shi everyth still noth check bite yet
15912,worry,yay move sorri dh grr xx
15913,love,thank review today feel like idk anyth anyway r
15914,happiness,perfect show enjoy
15915,enthusiasm,follow she lonelyyyy
15916,relief,
15917,sadness,bore without camera
15918,happiness,senior done day woohoo go night
15919,worry,got back groceri store starv find anyth eat
15920,empty,sit friday night bore
15921,fun,dude amel larrieux tonight errybodi fakin
15922,happiness,show amaz cold hope give victoria card get dvd back
15923,neutral,shakalohana week two flat wavez surfin
15924,sadness,ugh grosss
15925,worry,nigel realli enjoy got big scratch side inexplic appear afterward
15926,neutral,congrat ugh still june
15927,relief,work yesss super hungri
15928,worry,comput remain dead
15929,sadness,damn dublin
15930,worry,world make sad
15931,worry,lookbook crave everyon cloth pencil skirt baddd someon send
15932,sadness,everi saturday work suck friday monday juli th either
15933,surprise,still smell smoke kitchenfir
15934,neutral,guy make road trip look waraw wait long taipei
15935,sadness,hour take aerob class break
15936,neutral,tri next day yuk lol thing poppin sn
15937,surprise,sunburn fun rememb
15938,sadness,think perfect weather go camp cuddl dave star sleep
15939,surprise,watch missi elliot video collect sad told look like high school
15940,neutral,updat actual lol
15941,neutral,
15942,sadness,club weekend due bust knee lt emo gt life unfair lt emo gt
15943,love,aahhg orang slice left eat later quit pickl sxyhrlygrl
15944,surprise,unemploy line
15945,hate,suck
15946,hate,date script realli bad midway thru pitch catch get butthurt storm loss
15947,fun,harley quinn cstm heheheh go prom buaa
15948,worry,realli ring cost much dam credit crunch
15949,worry,sorri shannon
15950,worry,think pretti awesom could quot lotr rotk summer anymor
15951,sadness,actual sleep data recoveri place call woke
15952,worry,get cold
15953,sadness,arm hurt
15954,worry,feel quit quit sure though go bed night everyon x
15955,relief,thank migrain went away came back
15956,sadness,sadli corpor giant employ let get site
15957,neutral,aight see spring awaken home make home time see jay last show
15958,neutral,see none extra money
15959,sadness,go gymnast last day class
15960,fun,need sleep whole day recov birthday get old
15961,relief,home feel like long skate seshion got arrand
15962,sadness,lt internet weekend
15963,sadness,saw dead bird way work kind day start poor littl bird
15964,worry,
15965,love,love walk dark nice walk though hehe x
15966,sadness,good rememb twitter thing sorri everybodi leav tibet today head cold
15967,hate,ugh hate degre weather
15968,worry,ouch sunburn bad hope sore bed alway problem
15969,happiness,ah nfg super amaz jordan pretti legit stay longer meet everyon cuz hv hour drive home
